source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,1,1,S. No.,HTML table 1; row 1; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,1,2,Subject,HTML table 1; row 1; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,1,3,Uploaded Date,HTML table 1; row 1; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,1,4,Download,HTML table 1; row 1; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,2,1,,HTML table 1; row 2; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,2,2,Progress Report of Ganga Expressway File Size: 70.66 KB | Language: English,HTML table 1; row 2; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,2,3,27-04-2026,HTML table 1; row 2; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,1,2,4,Click here to download,HTML table 1; row 2; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,1,1,S. No.,HTML table 2; row 1; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,1,2,Subject,HTML table 2; row 1; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,1,3,Uploaded Date,HTML table 2; row 1; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,1,4,Download,HTML table 2; row 1; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,2,1,,HTML table 2; row 2; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,2,2,Group-I File Size: 52 MB | Language: English,HTML table 2; row 2; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,2,3,29-06-2022,HTML table 2; row 2; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,2,4,Click here to Download,HTML table 2; row 2; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,3,1,,HTML table 2; row 3; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,3,2,Group-II File Size: 54 MB | Language: English,HTML table 2; row 3; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,3,3,29-06-2022,HTML table 2; row 3; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,3,4,Click here to Download,HTML table 2; row 3; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,4,1,,HTML table 2; row 4; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,4,2,Group-III File Size: 52 MB | Language: English,HTML table 2; row 4; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,4,3,29-06-2022,HTML table 2; row 4; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,4,4,Click here to Download,HTML table 2; row 4; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,5,1,,HTML table 2; row 5; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,5,2,Group-IV File Size: 54 KB | Language: English,HTML table 2; row 5; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,5,3,29-06-2022,HTML table 2; row 5; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,2,5,4,Click here to Download,HTML table 2; row 5; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,1,1,S. No.,HTML table 3; row 1; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,1,2,Subject,HTML table 3; row 1; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,1,3,Uploaded Date,HTML table 3; row 1; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,1,4,Download,HTML table 3; row 1; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,2,1,,HTML table 3; row 2; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,2,2,Ganga Expressway Project Emapnelment of CAs-Corrigendum Dated 02/03/2022 File Size: 219 KB | Language: English,HTML table 3; row 2; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,2,3,02-03-2022,HTML table 3; row 2; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,2,4,Click here to Download,HTML table 3; row 2; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,3,1,,HTML table 3; row 3; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,3,2,Ganga Expressway Project Empanelment of CAs Response to queries dated 28/02/2022 File Size: 247 KB | Language: English,HTML table 3; row 3; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,3,3,28-02-2022,HTML table 3; row 3; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,3,4,Click here to Download,HTML table 3; row 3; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,4,1,,HTML table 3; row 4; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,4,2,"Notice inviting 'Expression of Interest' from Qualified Chartered Accountants for Empanelment as Statutory Auditors / Additional Auditors / Concurrent Auditors separately for Concessionaires of Four Groups of ""Ganga Expressway Project"" in the State of Uttar Pradesh in India.... File Size: 370 KB | Language: English Clarifications Queries EOI Document Ganga CAs",HTML table 3; row 4; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,4,3,10-02-2022,HTML table 3; row 4; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,3,4,4,Click here to Download,HTML table 3; row 4; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,1,1,S.No.,HTML table 4; row 1; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,1,2,Group,HTML table 4; row 1; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,1,3,Name of Selected Bidders quoting Lowest Grant,HTML table 4; row 1; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,1,4,Amount of Grant (Rs. in Crores),HTML table 4; row 1; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,2,1,1,HTML table 4; row 2; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,2,2,Group-I,HTML table 4; row 2; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,2,3,M/s IRB Infrastructure Developers Ltd.,HTML table 4; row 2; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,2,4,1746.00,HTML table 4; row 2; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,3,1,2,HTML table 4; row 3; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,3,2,Group-II,HTML table 4; row 3; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,3,3,M/s Adani Enterprises Ltd.,HTML table 4; row 3; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,3,4,1720.00,HTML table 4; row 3; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,4,1,3,HTML table 4; row 4; column 1,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,4,2,Group-III,HTML table 4; row 4; column 2,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,4,3,M/s Adani Enterprises Ltd.,HTML table 4; row 4; column 3,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,4,4,2177.00,HTML table 4; row 4; column 4,review_required
S002,f1eb646871951df0ea70098a4e2a654a69032501e45839af1f9992ab647478e0,,4,5,1,4,HTML table 4; row 5; column 1,review_required
